last_name,first_name,title,fraction_total
not_applicable,Anonymous,not_applicable,0.0608158336
not_applicable,Various,not_applicable,0.011476874199999999
Defoe,Daniel,not_applicable,0.010777870400000002
Shakespeare,William,not_applicable,0.0105923614
Swift,Jonathan,not_applicable,0.0074083998
Pope,Alexander,not_applicable,0.0060943726
More,Hannah,not_applicable,0.004996379400000001
Goldsmith,Oliver,not_applicable,0.0039478052000000005
not_applicable,Unknown,not_applicable,0.0038698167999999997
Kipling,Rudyard,not_applicable,0.0037782336
Johnson,Samuel,not_applicable,0.0036465130000000005
Smollett,Tobias,not_applicable,0.0033891124000000003
Trusler,John,not_applicable,0.003186097
Hayley,William,not_applicable,0.0031609883999999997
Addison,Joseph,not_applicable,0.0030570694
Griffiths,Ralph,not_applicable,0.0030502012000000003
Pratt,Samuel Jackson,not_applicable,0.0029688632000000005
Dibdin,Charles,not_applicable,0.0029688632000000005
Burke,Edmund,not_applicable,0.0029543254
Paine,Thomas,not_applicable,0.002698784
Hacker,Diana,not_applicable,0.002538
Holcroft,Thomas,not_applicable,0.002461984
England and Wales,Parliament,not_applicable,0.0023421802
Great Britain,Parliament,not_applicable,0.0023300148
Cumberland,Richard,not_applicable,0.0023275148000000004
Jerningham,Edward,not_applicable,0.002221605
Gilpin,William,not_applicable,0.002200423
Sovereign,Charles I,not_applicable,0.0021286838
Murphy,Arthur,not_applicable,0.0021068298
Lennox,Charlotte,not_applicable,0.0020999276
O'Keeffe,John,not_applicable,0.0020999276
Sharp,Granville,not_applicable,0.0020999276
not_applicable,England and Wales,not_applicable,0.001967515
Arbuthnot,John,not_applicable,0.001955105
Garrick,David,not_applicable,0.001955105
not_applicable,Church of England,not_applicable,0.0018879772
Kenrick,William,not_applicable,0.0018826938000000002
Churchill,Charles,not_applicable,0.001868414
Hume,David,not_applicable,0.0018489372
Gaskell,Elizabeth Cleghorn,not_applicable,0.0017647119999999999
Donovan,Edward,not_applicable,0.0016654598
Richardson,Samuel,not_applicable,0.0016426748
Chaucer,Geoffrey,not_applicable,0.0014406094
Sovereign,Charles II,not_applicable,0.001429588
Twain,Mark,not_applicable,0.0014065922
Wordsworth,William,not_applicable,0.0013842262000000002
Dryden,John,not_applicable,0.0013572454000000001
Milton,John,not_applicable,0.0013497412000000003
Poe,Edgar Allen,not_applicable,0.0013248
not_applicable,Philological Society (Great Britain),not_applicable,0.0012920992
Hawthorne,Nathaniel,not_applicable,0.0012727494
Dickens,Charles,not_applicable,0.001236239
Gleig,George,not_applicable,0.0011861894000000002
Macfarquhar,Colin,not_applicable,0.0011861894
Scotland,Privy Council,not_applicable,0.0011470194
Eliot,T S,not_applicable,0.0011234
Priestley,Joseph,not_applicable,0.0011226436000000002
Dodsley,Robert,not_applicable,0.0011014616000000002
